CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Hardin Capital, LLC||||0011I00000cJXXIQA4|||North American|SE||||Inactive||
1701469 Alberta Ltd.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXXJQA4|||North American|Canada||||Active|99.24C|
Shular Companies|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXaXQAW|||North American|SE||||Active|99.65D|
CMC Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXaYQAW|||North American|MidAtl||||Active|99.038|
Jalaram Hotels, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXaZQAW|||North American|SE||||Active|99.602|
AVA Development|Franchisee(F),Owner(F)|||0011I00000cJXaaQAG|||North American|NE||||Active|99.692|
Brown Palace Hotel Associates, LP||||0011I00000cJXabQAG|||North American|NE||||Inactive||
Sigma Phi Alpha Corporation|Owner(M)|||0011I00000cJXacQAG|||North American|NE||||Active|98.047|
Lamont Companies, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXadQAG|||North American|MW||||Active|99.25A|
Suburban Inns - H.I.H. Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXaeQAG|||North American|MidAtl||||Active|99.24E|
Plains Management Group|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXafQAG|||North American|SoCent||||Active|99.57A|
DPG Partners|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXagQAG|||North American|SoCent||||Active|99.52A|
Laramie Hotel Associates||||0011I00000cJXahQAG|||North American|West||||Inactive||
ROHM Group|Franchisee(F),Owner(F),Manager(F)|||0011I00000cJXaiQAG|||North American|SE||||Active|99.20E|
721 Mariposa|Franchisee(F),Owner(F)|||0011I00000cJXajQAG|||North American|West||||Active|99.1H4|
Boulder Hotels|Franchisee(F),Owner(F)|||0011I00000cJXakQAG|||North American|MidAtl||||Active|99.38M|
Arapahoe Development, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXalQAG|||North American|SoCent||||Active|99.006|
Donte Hotel||||0011I00000cJXamQAG|||North American|SE||||Inactive||
Tharaldson Hospitality Management|Owner(F),Franchisee(F),Manager(F)|||0011I00000cJXanQAG|||North American|MW||||Active|98.066|99.052
SWVP Companies|Franchisee(F),Owner(M),Owner(F)|||0011I00000cJXaoQAG|||North American|West||||Active|98.379|99.721
Cimarron Hospitality Management Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXapQAG|||North American|SoCent||||Active|99.26C|
Green Bay CS Hotel Group, LLC||||0011I00000cJXaqQAG|||North American|MW||||Inactive||
Lodging Hospitality Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXarQAG|||North American|MW||||Active|99.33A|
Blue Water Development Corp|Franchisee(F),Owner(F)|||0011I00000cJXasQAG|||North American|MidAtl||||Active|99.74B|
Palms Hospitality Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXatQAG|||North American|SE||||Active|99.97L|
Dynamic Group, LLC|Manager(F),Owner(F),Franchisee(F)|||0011I00000cJXauQAG|||North American|SE||||Active|99.90E|
CrossHarbor / BC Lynd||||0011I00000cJXavQAG|||North American|NE||||Inactive||
ASAP International Holdings|Owner(F),Franchisee(F)|||0011I00000cJXawQAG|||North American|West||||Active|99.02D|
