prop_id,prop_nm,MARSHA_TXT,PROP_STATUS_TXT,OPS_REGION_TXT,NALO_INTL_TXT,brand_txt,hotel_type_txt,OWNER_TYPE_TXT,DUD_DIVISION_CD,DUD_UNIT_CD,DUD_DEPT_CD,PEOPLESOFT_ID_DIVISION,PEOPLESOFT_ID_UNIT,PEOPLESOFT_ID_DEPT,PROP_MGR_TXT,PROP_OWNER_TXT,PROP_FRAN_TXT,PROP_AM_TXT
a1W1I000000aXMwUAM,Moxy St. Louis Downtown,,Pre-Opening,West,NALO,MOXY Hotels,MSB,F,,,,,,,0011I00000cJXXFQA4,0011I00000cJXXFQA4,0011I00000cJXXFQA4,
a1W1I000000aXOuUAM,Fairfield Inn & Suites Oakland Alameda,OAKXA,Pre-Opening,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXexQAG,0011I00000cJXexQAG,0011I00000cJXexQAG,
a1W1I000000aXPfUAM,Fairfield Inn & Suites Medford,MFRFM,Pre-Opening,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJScgQAG,0011I00000cJWYpQAO,0011I00000cJWYpQAO,
a1W1I000000aXPhUAM,Residence Inn by Marriott Guanacaste,LIRRI,Pre-Opening,CALA,INTL,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXdnQAG,0011I00000cJWTSQA4,0011I00000cJWTSQA4,
a1W1I000000aXPiUAM,Courtyard by Marriott Liberia Airport,LIRCY,Pre-Opening,CALA,INTL,Courtyard By Marriott,MSB,F,,,,,,,,0011I00000cJWTQQA4,,
a1W1I000000aXQFUA2,Fairfield by Marriott Inn & Suites Tulsa Catoosa,TULCT,Open,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXsAQAW,0011I00000cJXsAQAW,0011I00000cJXsAQAW,
a1W1I000000aXQGUA2,Moxy NYC Bowery,NYCOM,Pre-Opening,East,NALO,MOXY Hotels,MSB,F,,,,,,,0011I00000cJScgQAG,0011I00000cJXgmQAG,0011I00000cJXgmQAG,
a1W1I000000aXQpUAM,Residence Inn By Marriott Livingston,,Pre-Opening,East,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJScgQAG,0011I00000cJXnqQAG,0011I00000cJXnqQAG,
a1W1I000000aXQqUAM,Courtyard By Marriott Charleston-North Charleston,CHSCO,Open,East,NALO,Courtyard By Marriott,MSB,F,,,,,,,0011I00000cJXhdQAG,0011I00000cJXhdQAG,0011I00000cJXhdQAG,
a1W1I000000aXRRUA2,SpringHill Suites By Marriott Boston Revere,BOSSR,Pre-Opening,East,NALO,SpringHill Suites By Marriott,MSB,F,,,,,,,0011I00000cJXvGQAW,0011I00000cJXvGQAW,0011I00000cJXvGQAW,
a1W1I000000aXS5UAM,Fairfield Inn & Suites Manchester,BNAFA,Pre-Opening,East,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXtQQAW,0011I00000cJWhmQAG,0011I00000cJWhmQAG,
a1W1I000000aXS6UAM,Fairfield Inn & Suites Harrisburg West/Mechanicsburg,HARFH,Open,East,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXlwQAG,0011I00000cJXlwQAG,0011I00000cJXlwQAG,
a1W1I000000aXSfUAM,Residence Inn By Marriott Minneapolis St. Paul/Eagan,MSPRE,Open,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXqOQAW,0011I00000cJWOmQAO,0011I00000cJWOmQAO,
a1W1I000000aXSgUAM,"The Ben, Autograph Collection",PBIAK,Open,East,NALO,Autograph Collection,FS,F,,,,,,,0011I00000cJXnJQAW,0011I00000cJXnJQAW,0011I00000cJXnJQAW,
a1W1I000000aXTDUA2,The Westin Tampa Bay,TPAWI,Open,East,NALO,Westin Hotels,FS,F,,,,,,,0011I00000cJXxlQAG,0011I00000cJXxlQAG,0011I00000cJXxlQAG,
a1W1I000000aXTEUA2,Sheraton Orlando Lake Buena Vista Resort,MCOBS,Open,East,NALO,Sheraton Hotels,FS,F,,,,,,,0011I00000cJXUEQA4,0011I00000cJSyvQAG,0011I00000cJSyvQAG,
a1W1I000000aXU8UAM,AC Hotel By Marriott Fort Lauderdale Sawgrass Mills/Sunrise,FLLAS,Pre-Opening,East,NALO,AC Hotels By Marriott,MSB,F,,,,,,,0011I00000cJXnJQAW,0011I00000cJXqJQAW,0011I00000cJXqJQAW,
